,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,UniquePlayer,Week,Player,CALCAVGCtch%Rec,CALCAVG1DRec,CALCAVG1DRush,CALCAVG1DPass,CALCAVGSkPass,CALCAVGAttRush,CALCAVGTDRec,CALCAVGRateRec,CALCAVGY/APass,CALCAVGCmp%Pass,CALCAVGIntPass,CALCAVGYdsRec,CALCAVGTDPass,CALCAVGCmpPass,CALCAVGY/ARush,CALCAVGYdsPass2,CALCAVGYdsRush,CALCAVGYdsPass1,CALCAVGTDRush,CALCAVGRecRec,CALCAVGSkYdsPass,CALCAVGTgtRec,CALCAVGRecY_ind,CALCAVGAttPass
25,TE,George Kittle (15757879),George Kittle,15757879,TE/FLEX,6600,SF@NO 11/15/2020 04:25PM ET,15260863,17.35,George KittleTE15260863,10,George Kittle,0.7023333333333334,4.166666666666667,0.16666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,79.0,0.0,0.0,2.8333333333333335,0.0,2.8333333333333335,0.0,0.0,6.166666666666667,0.0,8.166666666666666,1.0,0.0
26,RB,James Robinson (15757207),James Robinson,15757207,RB/FLEX,6600,JAX@GB 11/15/2020 01:00PM ET,15260884,19.56,James RobinsonRB15260884,10,James Robinson,0.766375,1.25,3.875,0.0,0.125,16.5,0.25,0.0,0.0,0.0,0.0,28.125,0.0,0.0,4.29125,-0.5,72.5,0.0,0.625,3.375,-0.5,4.25,0.0,0.0
27,WR,Robert Woods (15757503),Robert Woods,15757503,WR/FLEX,6600,SEA@LAR 11/15/2020 04:25PM ET,15260882,16.18,Robert WoodsWR15260882,10,Robert Woods,0.689375,2.5,0.875,0.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,54.5,0.0,0.0,6.01,0.0,13.5,0.0,0.25,4.625,0.0,6.75,0.375,0.0
28,RB,Jonathan Taylor (15757209),Jonathan Taylor,15757209,RB/FLEX,6600,IND@TEN 11/12/2020 08:20PM ET,15260867,13.18,Jonathan TaylorRB15260867,10,Jonathan Taylor,0.958375,0.875,3.25,0.0,0.0,13.25,0.0,0.0,0.0,0.0,0.0,22.25,0.0,0.0,3.88875,0.0,52.0,0.0,0.5,2.5,0.0,2.625,0.0,0.0
29,RB,Josh Jacobs (15757211),Josh Jacobs,15757211,RB/FLEX,6500,DEN@LV 11/15/2020 04:05PM ET,15260876,16.04,Josh JacobsRB15260876,10,Josh Jacobs,0.698,0.25,4.625,0.0,0.0,20.125,0.0,0.0,0.0,0.0,0.0,15.625,0.0,0.0,3.5587500000000003,0.0,73.5,0.0,0.75,2.375,0.0,3.25,0.0,0.0
30,QB,Jared Goff (15757123),Jared Goff,15757123,QB,6500,SEA@LAR 11/15/2020 04:25PM ET,15260882,19.6,Jared GoffQB15260882,10,Jared Goff,0.0,0.0,0.75,12.875,1.25,3.0,0.0,99.23750000000001,7.887500000000001,66.9625,0.75,0.0,1.625,23.25,2.1075,-9.5,5.0,268.125,0.25,0.0,-9.5,0.0,0.0,35.5
31,WR,Tyler Lockett (15757505),Tyler Lockett,15757505,WR/FLEX,6500,SEA@LAR 11/15/2020 04:25PM ET,15260881,20.31,Tyler LockettWR15260881,10,Tyler Lockett,0.7484999999999999,4.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,76.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.625,0.0,8.75,0.375,0.0
32,QB,Drew Brees (15757124),Drew Brees,15757124,QB,6400,SF@NO 11/15/2020 04:25PM ET,15260880,20.75,Drew BreesQB15260880,10,Drew Brees,0.0,0.0,0.5,13.875,1.25,1.75,0.0,110.35,7.4875,74.08749999999999,0.375,0.0,2.125,26.375,0.125,-8.75,0.25,265.0,0.25,0.0,-8.75,0.0,0.0,35.625
33,WR,Tyler Boyd (15757507),Tyler Boyd,15757507,WR/FLEX,6400,CIN@PIT 11/15/2020 04:25PM ET,15260869,17.60,Tyler BoydWR15260869,10,Tyler Boyd,0.78925,4.5,0.125,0.125,0.0,0.5,0.375,14.85,2.0,12.5,0.0,73.0,0.0,0.125,4.1875,0.0,4.75,2.0,0.0,6.75,0.0,8.5,0.75,0.125
34,RB,Chase Edmonds (15757215),Chase Edmonds,15757215,RB/FLEX,6300,BUF@ARI 11/15/2020 04:05PM ET,15260888,11.95,Chase EdmondsRB15260888,10,Chase Edmonds,0.8145,1.75,1.5,0.0,0.0,6.75,0.25,0.0,0.0,0.0,0.0,30.0,0.0,0.0,5.62375,0.0,30.75,0.0,0.125,3.625,0.0,4.375,0.0,0.0
35,QB,Ryan Tannehill (15757125),Ryan Tannehill,15757125,QB,6300,IND@TEN 11/12/2020 08:20PM ET,15260871,22.09,Ryan TannehillQB15260871,10,Ryan Tannehill,0.125,0.0,1.25,13.0,1.375,2.75,0.0,109.61249999999998,7.874999999999999,65.05,0.375,0.0,2.375,20.875,4.24,-10.625,13.125,247.625,0.125,0.125,-10.625,0.125,0.0,31.75
36,QB,Tom Brady (15757126),Tom Brady,15757126,QB,6300,TB@CAR 11/15/2020 01:00PM ET,15260886,20.72,Tom BradyQB15260886,10,Tom Brady,0.0,0.0,0.4444444444444444,13.666666666666666,1.4444444444444444,1.8888888888888888,0.0,95.17777777777778,6.844444444444445,65.08888888888889,0.7777777777777778,0.0,2.2222222222222223,25.11111111111111,0.2222222222222222,-9.555555555555555,0.6666666666666666,266.44444444444446,0.2222222222222222,0.0,-9.555555555555555,0.0,0.0,38.44444444444444
37,WR,Mike Evans (15757511),Mike Evans,15757511,WR/FLEX,6300,TB@CAR 11/15/2020 01:00PM ET,15260886,13.97,Mike EvansWR15260886,10,Mike Evans,0.6402222222222222,2.888888888888889,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,48.55555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7777777777777777,0.0,5.777777777777778,0.6666666666666666,0.0
38,WR,DJ Chark Jr. (15757513),DJ Chark Jr.,15757513,WR/FLEX,6200,JAX@GB 11/15/2020 01:00PM ET,15260884,14.81,DJ Chark Jr.WR15260884,10,DJ Chark,0.6950000000000001,3.142857142857143,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,62.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.714285714285714,0.0,7.571428571428571,0.42857142857142855,0.0
39,RB,Chris Carson (15757217),Chris Carson,15757217,RB/FLEX,6200,SEA@LAR 11/15/2020 04:25PM ET,15260881,17.5,Chris CarsonRB15260881,10,Chris Carson,0.8511666666666667,1.5,3.3333333333333335,0.0,0.0,11.0,0.5,0.0,0.0,0.0,0.0,24.5,0.0,0.0,5.1016666666666675,0.0,53.833333333333336,0.0,0.5,3.6666666666666665,0.0,4.166666666666667,0.0,0.0
40,QB,Ben Roethlisberger (15757127),Ben Roethlisberger,15757127,QB,6200,CIN@PIT 11/15/2020 04:25PM ET,15260860,19.34,Ben RoethlisbergerQB15260860,10,Ben Roethlisberger,0.0,0.0,0.375,12.625,1.25,2.25,0.0,103.32499999999999,6.7875,67.8875,0.5,0.0,2.25,24.5,1.175,-10.875,1.75,241.75,0.0,0.0,-10.875,0.0,0.0,36.0
41,QB,Kirk Cousins (15757129),Kirk Cousins,15757129,QB,6100,MIN@CHI 11/16/2020 08:15PM ET,15260877,17.21,Kirk CousinsQB15260877,10,Kirk Cousins,0.0,0.0,0.75,10.75,2.0,1.375,0.0,102.625,9.2625,66.225,1.25,0.0,1.875,17.125,2.34375,-10.25,6.875,231.875,0.0,0.0,-10.25,0.0,0.0,26.125
42,QB,Teddy Bridgewater (15757128),Teddy Bridgewater,15757128,QB,6100,TB@CAR 11/15/2020 01:00PM ET,15260878,19.40,Teddy BridgewaterQB15260878,10,Teddy Bridgewater,0.0,0.0,1.0,13.444444444444445,2.0,3.5555555555555554,0.0,97.77777777777777,7.966666666666667,71.46666666666667,0.6666666666666666,0.0,1.2222222222222223,24.444444444444443,5.036666666666666,-12.555555555555555,20.0,268.44444444444446,0.2222222222222222,0.0,-12.555555555555555,0.0,0.0,34.0
43,WR,Robby Anderson (15757517),Robby Anderson,15757517,WR/FLEX,6100,TB@CAR 11/15/2020 01:00PM ET,15260878,16.82,Robby AndersonWR15260878,10,Robby Anderson,0.7678888888888888,3.7777777777777777,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,83.44444444444444,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,6.666666666666667,0.0,8.88888888888889,1.0,0.0
44,RB,Joe Mixon (15757219),Joe Mixon,15757219,RB/FLEX,6100,CIN@PIT 11/15/2020 04:25PM ET,15260869,17.27,Joe MixonRB15260869,10,Joe Mixon,0.7639999999999999,0.8333333333333334,3.3333333333333335,0.0,0.0,19.833333333333332,0.16666666666666666,0.0,0.0,0.0,0.0,23.0,0.0,0.0,3.481666666666667,0.0,71.33333333333333,0.0,0.5,3.5,0.0,4.333333333333333,0.0,0.0
45,WR,JuJu Smith-Schuster (15757515),JuJu Smith-Schuster,15757515,WR/FLEX,6100,CIN@PIT 11/15/2020 04:25PM ET,15260860,14.36,JuJu Smith-SchusterWR15260860,10,JuJu Smith-Schuster,0.79375,3.125,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,54.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.625,0.0,7.125,0.0,0.0
46,WR,Adam Thielen (15757519),Adam Thielen,15757519,WR/FLEX,6000,MIN@CHI 11/16/2020 08:15PM ET,15260877,17.06,Adam ThielenWR15260877,10,Adam Thielen,0.6208750000000001,3.125,0.0,0.0,0.0,0.375,0.875,0.0,0.0,0.0,0.0,60.0,0.0,0.0,1.875,0.0,1.875,0.0,0.0,4.625,0.0,7.25,0.75,0.0
47,QB,Baker Mayfield (15757130),Baker Mayfield,15757130,QB,6000,HOU@CLE 11/15/2020 01:00PM ET,15260885,15.01,Baker MayfieldQB15260885,10,Baker Mayfield,0.0,0.0,0.625,10.5,1.375,2.375,0.0,89.8125,6.925000000000001,61.91250000000001,0.875,0.0,1.875,17.125,2.9375,-7.5,8.125,189.25,0.0,0.0,-7.5,0.0,0.0,27.875
48,RB,Boston Scott (15757221),Boston Scott,15757221,RB/FLEX,6000,PHI@NYG 11/15/2020 01:00PM ET,15260862,5.82,Boston ScottRB15260862,10,Boston Scott,0.5125,0.5,1.125,0.0,0.0,6.0,0.125,0.0,0.0,0.0,0.0,12.875,0.0,0.0,3.0387500000000003,0.0,22.875,0.0,0.0,1.5,0.0,2.125,0.0,0.0
49,WR,Chris Godwin (15757521),Chris Godwin,15757521,WR/FLEX,6000,TB@CAR 11/15/2020 01:00PM ET,15260886,14.4,Chris GodwinWR15260886,10,Chris Godwin,0.7807999999999999,3.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,7.0,0.0,0.0
50,TE,Darren Waller (15757881),Darren Waller,15757881,TE/FLEX,5900,DEN@LV 11/15/2020 04:05PM ET,15260876,14.42,Darren WallerTE15260876,10,Darren Waller,0.6915,3.375,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,49.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,8.875,0.375,0.0
51,RB,Darrell Henderson Jr. (15757223),Darrell Henderson Jr.,15757223,RB/FLEX,5900,SEA@LAR 11/15/2020 04:25PM ET,15260882,11.85,Darrell Henderson Jr.RB15260882,10,Darrell Henderson,0.53125,0.875,4.125,0.0,0.0,11.875,0.125,0.0,0.0,0.0,0.0,15.0,0.0,0.0,4.4975,0.0,57.25,0.0,0.375,1.25,0.0,1.875,0.0,0.0
52,QB,Philip Rivers (15757132),Philip Rivers,15757132,QB,5900,IND@TEN 11/12/2020 08:20PM ET,15260867,15.28,Philip RiversQB15260867,10,Philip Rivers,0.0,0.0,0.0,12.875,0.875,1.5,0.0,93.89999999999999,7.799999999999999,68.475,0.875,0.0,1.25,23.25,-0.07250000000000001,-4.125,-0.25,260.875,0.0,0.0,-4.125,0.0,0.0,34.25
53,WR,Jarvis Landry (15757523),Jarvis Landry,15757523,WR/FLEX,5900,HOU@CLE 11/15/2020 01:00PM ET,15260885,10.19,Jarvis LandryWR15260885,10,Jarvis Landry,0.738375,2.375,0.125,0.25,0.0,0.25,0.0,34.6375,7.0,25.0,0.0,52.375,0.125,0.25,0.25,0.0,0.5,7.0,0.0,4.125,0.0,6.25,0.0,0.25
54,QB,Carson Wentz (15757131),Carson Wentz,15757131,QB,5900,PHI@NYG 11/15/2020 01:00PM ET,15260862,21.32,Carson WentzQB15260862,10,Carson Wentz,0.0,0.0,2.5,11.625,4.0,4.875,0.0,73.23750000000001,6.1625000000000005,58.36250000000001,1.5,0.0,1.5,22.25,4.60125,-27.375,25.25,235.375,0.625,0.0,-27.375,0.0,0.0,38.125
55,QB,Matthew Stafford (15757133),Matthew Stafford,15757133,QB,5800,WAS@DET 11/15/2020 01:00PM ET,15260874,18.60,Matthew StaffordQB15260874,10,Matthew Stafford,0.0,0.0,0.75,13.25,2.625,2.125,0.0,92.64999999999999,7.625,62.900000000000006,0.875,0.0,1.75,21.75,4.175,-19.75,9.625,265.875,0.0,0.0,-19.75,0.0,0.0,34.75
56,WR,Chase Claypool (15757527),Chase Claypool,15757527,WR/FLEX,5800,CIN@PIT 11/15/2020 04:25PM ET,15260860,15.24,Chase ClaypoolWR15260860,10,Chase Claypool,0.757125,2.375,0.5,0.0,0.0,0.875,0.625,0.0,0.0,0.0,0.0,55.5,0.0,0.0,2.1875,0.0,3.125,0.0,0.25,3.875,0.0,5.875,0.375,0.0
57,RB,Myles Gaskin (15757225),Myles Gaskin,15757225,RB/FLEX,5800,LAC@MIA 11/15/2020 04:05PM ET,15260890,14.21,Myles GaskinRB15260890,10,Myles Gaskin,0.8724285714285714,0.7142857142857143,3.0,0.0,0.0,14.285714285714286,0.0,0.0,0.0,0.0,0.0,28.285714285714285,0.0,0.0,4.177142857142857,0.0,55.285714285714285,0.0,0.2857142857142857,4.285714285714286,0.0,5.0,0.0,0.0
58,WR,Marquise Brown (15757535),Marquise Brown,15757535,WR/FLEX,5700,BAL@NE 11/15/2020 08:20PM ET,15260866,10.85,Marquise BrownWR15260866,10,Marquise Brown,0.60825,2.75,0.0,0.0,0.0,0.125,0.25,0.0,0.0,0.0,0.0,52.125,0.0,0.0,0.125,0.0,0.125,0.0,0.0,3.75,0.0,6.125,0.375,0.0
59,RB,Raheem Mostert (15757227),Raheem Mostert,15757227,RB/FLEX,5700,SF@NO 11/15/2020 04:25PM ET,15260863,17.08,Raheem MostertRB15260863,10,Raheem Mostert,0.95,1.25,2.25,0.0,0.0,12.75,0.25,0.0,0.0,0.0,0.0,37.5,0.0,0.0,6.8075,0.0,75.75,0.0,0.25,2.75,0.0,3.0,0.0,0.0
60,WR,Christian Kirk (15757531),Christian Kirk,15757531,WR/FLEX,5700,BUF@ARI 11/15/2020 04:05PM ET,15260888,14.61,Christian KirkWR15260888,10,Christian Kirk,0.5615714285714286,2.5714285714285716,0.14285714285714285,0.0,0.0,0.14285714285714285,0.8571428571428571,0.0,0.0,0.0,0.0,57.142857142857146,0.0,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.0,3.2857142857142856,0.0,5.714285714285714,0.42857142857142855,0.0
61,QB,Joe Burrow (15757134),Joe Burrow,15757134,QB,5700,CIN@PIT 11/15/2020 04:25PM ET,15260869,21.61,Joe BurrowQB15260869,10,Joe Burrow,0.0,0.0,1.625,16.25,3.5,4.375,0.0,90.11250000000001,6.950000000000001,67.2875,0.625,0.0,1.375,27.625,2.8600000000000003,-25.375,16.25,284.0,0.375,0.0,-25.375,0.0,0.0,41.125
62,QB,Cam Newton (15757137),Cam Newton,15757137,QB,5600,BAL@NE 11/15/2020 08:20PM ET,15260865,20.53,Cam NewtonQB15260865,10,Cam Newton,0.14285714285714285,0.14285714285714285,4.285714285714286,10.285714285714286,1.7142857142857142,9.857142857142858,0.0,77.21428571428571,7.228571428571428,67.55714285714285,1.0,2.2857142857142856,0.2857142857142857,18.571428571428573,4.467142857142857,-9.428571428571429,44.857142857142854,202.42857142857142,1.1428571428571428,0.14285714285714285,-9.428571428571429,0.14285714285714285,0.0,27.285714285714285
63,RB,Antonio Gibson (15757231),Antonio Gibson,15757231,RB/FLEX,5600,WAS@DET 11/15/2020 01:00PM ET,15260891,13.79,Antonio GibsonRB15260891,10,Antonio Gibson,0.7625,0.875,2.375,0.0,0.0,11.25,0.0,0.0,0.0,0.0,0.0,22.75,0.0,0.0,4.09,0.0,48.875,0.0,0.625,2.75,0.0,3.25,0.0,0.0
