,,Week,Year,GID,Name,Pos,Team,h/a,Oppt,DK points,DK salary,Player,CALCAVGPPDOFFCmpPass,CALCAVGPPDOFFAttPass,CALCAVGPPDOFFCmp%Pass,CALCAVGPPDOFFYdsPass1,CALCAVGPPDOFFTDPass,CALCAVGPPDOFFIntPass,CALCAVGPPDOFFSkPass,CALCAVGPPDOFFYdsPass2,CALCAVGPPDOFFY/APass,CALCAVGPPDOFF1DPass,CALCAVGPPDOFFRateRec,CALCAVGPPDOFFTgtRec,CALCAVGPPDOFFRecRec,CALCAVGPPDOFFCtch%Rec,CALCAVGPPDOFFYdsRec,CALCAVGPPDOFFTDRec,CALCAVGPPDOFF1DRec,CALCAVGPPDOFFAttRush,CALCAVGPPDOFFYdsRush,CALCAVGPPDOFFY/ARush,CALCAVGPPDOFFTDRush,CALCAVGPPDOFF1DRush,CALCAVGPPDOFFSkYdsPass,OffenseUID,TmOFNS,CALCAVGPTDOFFPlaysOFNS,CALCAVGPTDOFFToGoOFNS,CALCAVGPTDOFFYdsOFNS,CALCAVGPTDOFF1st%OFNS,CALCAVGPTDOFFTO%OFNS,CALCAVGPTDOFFTDOFNS,CALCAVGPTDOFFFGOFNS,CALCAVGPTDOFFnanOFNS,CALCAVGPTDOFFIntOFNS,CALCAVGPTDOFFFmbOFNS,CALCAVGPTDOFFSkOFNS,CALCAVGPTDOFFPassOFNS,CALCAVGPTDOFFRushOFNS,CALCAVGPTDOFFFGOFNS1,CALCAVGPTDOFFPuntOFNS,CALCAVGPTDOFFGDFNS,CALCAVGPTDOFFPlaysDFNS,CALCAVGPTDOFFToGoDFNS,CALCAVGPTDOFFYdsDFNS,CALCAVGPTDOFF1st%DFNS,CALCAVGPTDOFFTO%DFNS,CALCAVGPTDOFFTDDFNS,CALCAVGPTDOFFFGDFNS,CALCAVGPTDOFFnanDFNS,CALCAVGPTDOFFIntDFNS,CALCAVGPTDOFFFmbDFNS,CALCAVGPTDOFFSkDFNS,CALCAVGPTDOFFPassDFNS,CALCAVGPTDOFFRushDFNS,CALCAVGPTDOFFFGDFNS1,CALCAVGPTDOFFPuntDFNS,CALCAVGPTDOFFRkALLSCR,CALCAVGPTDOFFTDALLSCR,CALCAVGPTDOFFXPAALLSCR,CALCAVGPTDOFFXPMALLSCR,CALCAVGPTDOFFFGAALLSCR,CALCAVGPTDOFFFGMALLSCR,CALCAVGPTDOFF2PAALLSCR,CALCAVGPTDOFF2PMALLSCR,CALCAVGPTDOFFSftyALLSCR,CALCAVGPTDOFFRkDSTSCR,CALCAVGPTDOFFKRDSTSCR,CALCAVGPTDOFFPRDSTSCR,CALCAVGPTDOFFIRDSTSCR,CALCAVGPTDOFFFRDSTSCR,CALCAVGPTDOFFORDSTSCR,CALCAVGPTDOFFRetTDDSTSCR,CALCAVGPTDOFFPtsFor,CALCAVGPTDOFFPtsAgainst,DefenseUID,Opponent,CALCAVGPTDOPPPlaysOFNS,CALCAVGPTDOPPToGoOFNS,CALCAVGPTDOPPYdsOFNS,CALCAVGPTDOPP1st%OFNS,CALCAVGPTDOPPTO%OFNS,CALCAVGPTDOPPTDOFNS,CALCAVGPTDOPPFGOFNS,CALCAVGPTDOPPnanOFNS,CALCAVGPTDOPPIntOFNS,CALCAVGPTDOPPFmbOFNS,CALCAVGPTDOPPSkOFNS,CALCAVGPTDOPPPassOFNS,CALCAVGPTDOPPRushOFNS,CALCAVGPTDOPPFGOFNS1,CALCAVGPTDOPPPuntOFNS,CALCAVGPTDOPPGDFNS,CALCAVGPTDOPPPlaysDFNS,CALCAVGPTDOPPToGoDFNS,CALCAVGPTDOPPYdsDFNS,CALCAVGPTDOPP1st%DFNS,CALCAVGPTDOPPTO%DFNS,CALCAVGPTDOPPTDDFNS,CALCAVGPTDOPPFGDFNS,CALCAVGPTDOPPnanDFNS,CALCAVGPTDOPPIntDFNS,CALCAVGPTDOPPFmbDFNS,CALCAVGPTDOPPSkDFNS,CALCAVGPTDOPPPassDFNS,CALCAVGPTDOPPRushDFNS,CALCAVGPTDOPPFGDFNS1,CALCAVGPTDOPPPuntDFNS,CALCAVGPTDOPPRkALLSCR,CALCAVGPTDOPPTDALLSCR,CALCAVGPTDOPPXPAALLSCR,CALCAVGPTDOPPXPMALLSCR,CALCAVGPTDOPPFGAALLSCR,CALCAVGPTDOPPFGMALLSCR,CALCAVGPTDOPP2PAALLSCR,CALCAVGPTDOPP2PMALLSCR,CALCAVGPTDOPPSftyALLSCR,CALCAVGPTDOPPRkDSTSCR,CALCAVGPTDOPPKRDSTSCR,CALCAVGPTDOPPPRDSTSCR,CALCAVGPTDOPPIRDSTSCR,CALCAVGPTDOPPFRDSTSCR,CALCAVGPTDOPPORDSTSCR,CALCAVGPTDOPPRetTDDSTSCR,CALCAVGPTDOPPPtsFor,CALCAVGPTDOPPPtsAgainst
720,66,4,2020,5441,Malcolm BrownRB15260882,RB,lar,h,nyg,10.6,4700,Malcolm BrownRB15260882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.25,10.333333333333334,0.0,0.3333333333333333,12.0,48.333333333333336,3.7900000000000005,0.6666666666666666,4.0,0.0,10022,LAR,80.66666666666667,6.966666666666666,5.566666666666666,0.32766666666666666,0.012666666666666666,3.6666666666666665,1.3333333333333333,26.333333333333332,0.6666666666666666,0.3333333333333333,1.3333333333333333,31.333333333333332,37.0,2.0,1.6666666666666667,1.0,78.33333333333333,7.266666666666667,4.766666666666667,0.29433333333333334,0.025666666666666667,3.0,1.0,23.0,1.0,1.0,2.3333333333333335,40.666666666666664,24.666666666666668,1.3333333333333333,2.6666666666666665,14.333333333333334,3.6666666666666665,3.3333333333333335,3.0,2.0,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,26.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,29.666666666666668,23.666666666666668,10023,NYG,79.0,8.066666666666666,4.5,0.2643333333333333,0.009,3.0,2.0,21.0,0.6666666666666666,0.0,2.6666666666666665,34.666666666666664,32.333333333333336,2.6666666666666665,2.3333333333333335,1.0,70.66666666666667,7.8,3.8333333333333335,0.22833333333333336,0.038,1.0,2.0,16.333333333333332,1.3333333333333333,1.3333333333333333,3.0,40.666666666666664,17.666666666666668,2.3333333333333335,3.0,17.0,3.0,2.6666666666666665,2.3333333333333335,2.6666666666666665,2.0,0.3333333333333333,0.0,0.0,19.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,26.333333333333332,12.666666666666666
721,85,4,2020,5716,Darrell Henderson Jr.RB15260882,RB,lar,h,nyg,4.8,5800,Darrell Henderson Jr.RB15260882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.3333333333333333,15.333333333333334,0.0,0.6666666666666666,11.666666666666666,67.0,4.816666666666666,0.6666666666666666,4.666666666666667,0.0,10022,LAR,80.66666666666667,6.966666666666666,5.566666666666666,0.32766666666666666,0.012666666666666666,3.6666666666666665,1.3333333333333333,26.333333333333332,0.6666666666666666,0.3333333333333333,1.3333333333333333,31.333333333333332,37.0,2.0,1.6666666666666667,1.0,78.33333333333333,7.266666666666667,4.766666666666667,0.29433333333333334,0.025666666666666667,3.0,1.0,23.0,1.0,1.0,2.3333333333333335,40.666666666666664,24.666666666666668,1.3333333333333333,2.6666666666666665,14.333333333333334,3.6666666666666665,3.3333333333333335,3.0,2.0,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,26.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,29.666666666666668,23.666666666666668,10023,NYG,79.0,8.066666666666666,4.5,0.2643333333333333,0.009,3.0,2.0,21.0,0.6666666666666666,0.0,2.6666666666666665,34.666666666666664,32.333333333333336,2.6666666666666665,2.3333333333333335,1.0,70.66666666666667,7.8,3.8333333333333335,0.22833333333333336,0.038,1.0,2.0,16.333333333333332,1.3333333333333333,1.3333333333333333,3.0,40.666666666666664,17.666666666666668,2.3333333333333335,3.0,17.0,3.0,2.6666666666666665,2.3333333333333335,2.6666666666666665,2.0,0.3333333333333333,0.0,0.0,19.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,26.333333333333332,12.666666666666666
722,164,4,2020,5552,Cooper KuppWR15260882,WR,lar,h,nyg,17.7,6700,Cooper KuppWR15260882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.8443333333333333,76.0,0.3333333333333333,4.666666666666667,0.6666666666666666,6.333333333333333,3.1666666666666665,0.0,0.6666666666666666,0.0,10022,LAR,80.66666666666667,6.966666666666666,5.566666666666666,0.32766666666666666,0.012666666666666666,3.6666666666666665,1.3333333333333333,26.333333333333332,0.6666666666666666,0.3333333333333333,1.3333333333333333,31.333333333333332,37.0,2.0,1.6666666666666667,1.0,78.33333333333333,7.266666666666667,4.766666666666667,0.29433333333333334,0.025666666666666667,3.0,1.0,23.0,1.0,1.0,2.3333333333333335,40.666666666666664,24.666666666666668,1.3333333333333333,2.6666666666666665,14.333333333333334,3.6666666666666665,3.3333333333333335,3.0,2.0,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,26.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,29.666666666666668,23.666666666666668,10023,NYG,79.0,8.066666666666666,4.5,0.2643333333333333,0.009,3.0,2.0,21.0,0.6666666666666666,0.0,2.6666666666666665,34.666666666666664,32.333333333333336,2.6666666666666665,2.3333333333333335,1.0,70.66666666666667,7.8,3.8333333333333335,0.22833333333333336,0.038,1.0,2.0,16.333333333333332,1.3333333333333333,1.3333333333333333,3.0,40.666666666666664,17.666666666666668,2.3333333333333335,3.0,17.0,3.0,2.6666666666666665,2.3333333333333335,2.6666666666666665,2.0,0.3333333333333333,0.0,0.0,19.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,26.333333333333332,12.666666666666666
723,193,4,2020,5217,Robert WoodsWR15260882,WR,lar,h,nyg,9.7,6300,Robert WoodsWR15260882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.333333333333333,4.333333333333333,0.6609999999999999,64.33333333333333,0.3333333333333333,3.0,2.3333333333333335,21.0,10.11,0.3333333333333333,1.0,0.0,10022,LAR,80.66666666666667,6.966666666666666,5.566666666666666,0.32766666666666666,0.012666666666666666,3.6666666666666665,1.3333333333333333,26.333333333333332,0.6666666666666666,0.3333333333333333,1.3333333333333333,31.333333333333332,37.0,2.0,1.6666666666666667,1.0,78.33333333333333,7.266666666666667,4.766666666666667,0.29433333333333334,0.025666666666666667,3.0,1.0,23.0,1.0,1.0,2.3333333333333335,40.666666666666664,24.666666666666668,1.3333333333333333,2.6666666666666665,14.333333333333334,3.6666666666666665,3.3333333333333335,3.0,2.0,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,26.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,29.666666666666668,23.666666666666668,10023,NYG,79.0,8.066666666666666,4.5,0.2643333333333333,0.009,3.0,2.0,21.0,0.6666666666666666,0.0,2.6666666666666665,34.666666666666664,32.333333333333336,2.6666666666666665,2.3333333333333335,1.0,70.66666666666667,7.8,3.8333333333333335,0.22833333333333336,0.038,1.0,2.0,16.333333333333332,1.3333333333333333,1.3333333333333333,3.0,40.666666666666664,17.666666666666668,2.3333333333333335,3.0,17.0,3.0,2.6666666666666665,2.3333333333333335,2.6666666666666665,2.0,0.3333333333333333,0.0,0.0,19.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,26.333333333333332,12.666666666666666
724,225,4,2020,5582,Josh ReynoldsWR15260882,WR,lar,h,nyg,5.5,4100,Josh ReynoldsWR15260882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,2.3333333333333335,0.9333333333333332,36.666666666666664,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10022,LAR,80.66666666666667,6.966666666666666,5.566666666666666,0.32766666666666666,0.012666666666666666,3.6666666666666665,1.3333333333333333,26.333333333333332,0.6666666666666666,0.3333333333333333,1.3333333333333333,31.333333333333332,37.0,2.0,1.6666666666666667,1.0,78.33333333333333,7.266666666666667,4.766666666666667,0.29433333333333334,0.025666666666666667,3.0,1.0,23.0,1.0,1.0,2.3333333333333335,40.666666666666664,24.666666666666668,1.3333333333333333,2.6666666666666665,14.333333333333334,3.6666666666666665,3.3333333333333335,3.0,2.0,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,26.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,29.666666666666668,23.666666666666668,10023,NYG,79.0,8.066666666666666,4.5,0.2643333333333333,0.009,3.0,2.0,21.0,0.6666666666666666,0.0,2.6666666666666665,34.666666666666664,32.333333333333336,2.6666666666666665,2.3333333333333335,1.0,70.66666666666667,7.8,3.8333333333333335,0.22833333333333336,0.038,1.0,2.0,16.333333333333332,1.3333333333333333,1.3333333333333333,3.0,40.666666666666664,17.666666666666668,2.3333333333333335,3.0,17.0,3.0,2.6666666666666665,2.3333333333333335,2.6666666666666665,2.0,0.3333333333333333,0.0,0.0,19.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,26.333333333333332,12.666666666666666
725,294,4,2020,5844,Van Jefferson Jr.WR15260882,WR,lar,h,nyg,0,3000,Van Jefferson Jr.WR15260882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.6666666666666667,0.37766666666666665,25.333333333333332,0.0,1.0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.0,0.0,0.0,10022,LAR,80.66666666666667,6.966666666666666,5.566666666666666,0.32766666666666666,0.012666666666666666,3.6666666666666665,1.3333333333333333,26.333333333333332,0.6666666666666666,0.3333333333333333,1.3333333333333333,31.333333333333332,37.0,2.0,1.6666666666666667,1.0,78.33333333333333,7.266666666666667,4.766666666666667,0.29433333333333334,0.025666666666666667,3.0,1.0,23.0,1.0,1.0,2.3333333333333335,40.666666666666664,24.666666666666668,1.3333333333333333,2.6666666666666665,14.333333333333334,3.6666666666666665,3.3333333333333335,3.0,2.0,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,26.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,29.666666666666668,23.666666666666668,10023,NYG,79.0,8.066666666666666,4.5,0.2643333333333333,0.009,3.0,2.0,21.0,0.6666666666666666,0.0,2.6666666666666665,34.666666666666664,32.333333333333336,2.6666666666666665,2.3333333333333335,1.0,70.66666666666667,7.8,3.8333333333333335,0.22833333333333336,0.038,1.0,2.0,16.333333333333332,1.3333333333333333,1.3333333333333333,3.0,40.666666666666664,17.666666666666668,2.3333333333333335,3.0,17.0,3.0,2.6666666666666665,2.3333333333333335,2.6666666666666665,2.0,0.3333333333333333,0.0,0.0,19.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,26.333333333333332,12.666666666666666
726,325,4,2020,4705,Gerald EverettTE15260882,TE,lar,h,nyg,7.2,2500,Gerald EverettTE15260882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,0.75,20.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10022,LAR,80.66666666666667,6.966666666666666,5.566666666666666,0.32766666666666666,0.012666666666666666,3.6666666666666665,1.3333333333333333,26.333333333333332,0.6666666666666666,0.3333333333333333,1.3333333333333333,31.333333333333332,37.0,2.0,1.6666666666666667,1.0,78.33333333333333,7.266666666666667,4.766666666666667,0.29433333333333334,0.025666666666666667,3.0,1.0,23.0,1.0,1.0,2.3333333333333335,40.666666666666664,24.666666666666668,1.3333333333333333,2.6666666666666665,14.333333333333334,3.6666666666666665,3.3333333333333335,3.0,2.0,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,26.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,29.666666666666668,23.666666666666668,10023,NYG,79.0,8.066666666666666,4.5,0.2643333333333333,0.009,3.0,2.0,21.0,0.6666666666666666,0.0,2.6666666666666665,34.666666666666664,32.333333333333336,2.6666666666666665,2.3333333333333335,1.0,70.66666666666667,7.8,3.8333333333333335,0.22833333333333336,0.038,1.0,2.0,16.333333333333332,1.3333333333333333,1.3333333333333333,3.0,40.666666666666664,17.666666666666668,2.3333333333333335,3.0,17.0,3.0,2.6666666666666665,2.3333333333333335,2.6666666666666665,2.0,0.3333333333333333,0.0,0.0,19.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,26.333333333333332,12.666666666666666
727,329,4,2020,4680,Tyler HigbeeTE15260882,TE,lar,h,nyg,5.1,5700,Tyler HigbeeTE15260882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,3.3333333333333335,0.9166666666666666,44.666666666666664,1.0,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,10022,LAR,80.66666666666667,6.966666666666666,5.566666666666666,0.32766666666666666,0.012666666666666666,3.6666666666666665,1.3333333333333333,26.333333333333332,0.6666666666666666,0.3333333333333333,1.3333333333333333,31.333333333333332,37.0,2.0,1.6666666666666667,1.0,78.33333333333333,7.266666666666667,4.766666666666667,0.29433333333333334,0.025666666666666667,3.0,1.0,23.0,1.0,1.0,2.3333333333333335,40.666666666666664,24.666666666666668,1.3333333333333333,2.6666666666666665,14.333333333333334,3.6666666666666665,3.3333333333333335,3.0,2.0,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,26.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,29.666666666666668,23.666666666666668,10023,NYG,79.0,8.066666666666666,4.5,0.2643333333333333,0.009,3.0,2.0,21.0,0.6666666666666666,0.0,2.6666666666666665,34.666666666666664,32.333333333333336,2.6666666666666665,2.3333333333333335,1.0,70.66666666666667,7.8,3.8333333333333335,0.22833333333333336,0.038,1.0,2.0,16.333333333333332,1.3333333333333333,1.3333333333333333,3.0,40.666666666666664,17.666666666666668,2.3333333333333335,3.0,17.0,3.0,2.6666666666666665,2.3333333333333335,2.6666666666666665,2.0,0.3333333333333333,0.0,0.0,19.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,26.333333333333332,12.666666666666666
728,26,4,2020,1231,Philip RiversQB15260867,QB,ind,a,chi,11.2,5500,Philip RiversQB15260867,24.0,30.666666666666668,78.43333333333334,264.6666666666667,1.0,1.0,0.6666666666666666,-3.6666666666666665,8.933333333333334,13.333333333333334,104.03333333333335,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,2.0,1.25,0.0,0.0,-3.6666666666666665,10009,IND,76.33333333333333,7.733333333333333,5.033333333333333,0.27566666666666667,0.012666666666666666,2.0,2.6666666666666665,21.0,1.0,0.0,1.0,33.0,31.0,3.3333333333333335,2.0,1.0,64.33333333333333,8.166666666666666,3.5,0.19166666666666665,0.030333333333333334,1.6666666666666667,1.0,12.333333333333334,2.0,0.0,3.0,28.0,23.333333333333332,1.0,4.0,16.0,2.6666666666666665,2.6666666666666665,2.6666666666666665,3.3333333333333335,2.6666666666666665,0.0,0.0,0.6666666666666666,7.333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,26.666666666666668,15.0,10005,CHI,81.33333333333333,7.466666666666666,4.433333333333334,0.25133333333333335,0.016666666666666666,2.0,2.3333333333333335,20.333333333333332,1.0,0.3333333333333333,2.3333333333333335,42.333333333333336,24.0,3.3333333333333335,4.333333333333333,1.0,83.33333333333333,7.7,4.3999999999999995,0.25633333333333336,0.016,3.0,1.3333333333333333,21.333333333333332,1.3333333333333333,0.0,2.3333333333333335,40.666666666666664,28.333333333333332,2.0,4.0,22.333333333333332,2.0,2.0,1.6666666666666667,3.3333333333333335,2.3333333333333335,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,20.666666666666668,24.666666666666668
729,75,4,2020,5820,Jonathan TaylorRB15260867,RB,ind,a,chi,8.9,6600,Jonathan TaylorRB15260867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,26.333333333333332,0.0,0.6666666666666666,16.0,60.666666666666664,3.6199999999999997,0.6666666666666666,3.6666666666666665,0.0,10009,IND,76.33333333333333,7.733333333333333,5.033333333333333,0.27566666666666667,0.012666666666666666,2.0,2.6666666666666665,21.0,1.0,0.0,1.0,33.0,31.0,3.3333333333333335,2.0,1.0,64.33333333333333,8.166666666666666,3.5,0.19166666666666665,0.030333333333333334,1.6666666666666667,1.0,12.333333333333334,2.0,0.0,3.0,28.0,23.333333333333332,1.0,4.0,16.0,2.6666666666666665,2.6666666666666665,2.6666666666666665,3.3333333333333335,2.6666666666666665,0.0,0.0,0.6666666666666666,7.333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,26.666666666666668,15.0,10005,CHI,81.33333333333333,7.466666666666666,4.433333333333334,0.25133333333333335,0.016666666666666666,2.0,2.3333333333333335,20.333333333333332,1.0,0.3333333333333333,2.3333333333333335,42.333333333333336,24.0,3.3333333333333335,4.333333333333333,1.0,83.33333333333333,7.7,4.3999999999999995,0.25633333333333336,0.016,3.0,1.3333333333333333,21.333333333333332,1.3333333333333333,0.0,2.3333333333333335,40.666666666666664,28.333333333333332,2.0,4.0,22.333333333333332,2.0,2.0,1.6666666666666667,3.3333333333333335,2.3333333333333335,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,20.666666666666668,24.666666666666668
730,80,4,2020,5623,Nyheim HinesRB15260867,RB,ind,a,chi,6.2,4700,Nyheim HinesRB15260867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.666666666666667,4.333333333333333,0.9333333333333332,29.666666666666668,0.3333333333333333,1.6666666666666667,4.666666666666667,16.333333333333332,2.3333333333333335,0.3333333333333333,1.0,0.0,10009,IND,76.33333333333333,7.733333333333333,5.033333333333333,0.27566666666666667,0.012666666666666666,2.0,2.6666666666666665,21.0,1.0,0.0,1.0,33.0,31.0,3.3333333333333335,2.0,1.0,64.33333333333333,8.166666666666666,3.5,0.19166666666666665,0.030333333333333334,1.6666666666666667,1.0,12.333333333333334,2.0,0.0,3.0,28.0,23.333333333333332,1.0,4.0,16.0,2.6666666666666665,2.6666666666666665,2.6666666666666665,3.3333333333333335,2.6666666666666665,0.0,0.0,0.6666666666666666,7.333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,26.666666666666668,15.0,10005,CHI,81.33333333333333,7.466666666666666,4.433333333333334,0.25133333333333335,0.016666666666666666,2.0,2.3333333333333335,20.333333333333332,1.0,0.3333333333333333,2.3333333333333335,42.333333333333336,24.0,3.3333333333333335,4.333333333333333,1.0,83.33333333333333,7.7,4.3999999999999995,0.25633333333333336,0.016,3.0,1.3333333333333333,21.333333333333332,1.3333333333333333,0.0,2.3333333333333335,40.666666666666664,28.333333333333332,2.0,4.0,22.333333333333332,2.0,2.0,1.6666666666666667,3.3333333333333335,2.3333333333333335,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,20.666666666666668,24.666666666666668
731,196,4,2020,5647,Zach PascalWR15260867,WR,ind,a,chi,8.8,4400,Zach PascalWR15260867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,2.3333333333333335,0.639,23.666666666666668,0.3333333333333333,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,10009,IND,76.33333333333333,7.733333333333333,5.033333333333333,0.27566666666666667,0.012666666666666666,2.0,2.6666666666666665,21.0,1.0,0.0,1.0,33.0,31.0,3.3333333333333335,2.0,1.0,64.33333333333333,8.166666666666666,3.5,0.19166666666666665,0.030333333333333334,1.6666666666666667,1.0,12.333333333333334,2.0,0.0,3.0,28.0,23.333333333333332,1.0,4.0,16.0,2.6666666666666665,2.6666666666666665,2.6666666666666665,3.3333333333333335,2.6666666666666665,0.0,0.0,0.6666666666666666,7.333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,26.666666666666668,15.0,10005,CHI,81.33333333333333,7.466666666666666,4.433333333333334,0.25133333333333335,0.016666666666666666,2.0,2.3333333333333335,20.333333333333332,1.0,0.3333333333333333,2.3333333333333335,42.333333333333336,24.0,3.3333333333333335,4.333333333333333,1.0,83.33333333333333,7.7,4.3999999999999995,0.25633333333333336,0.016,3.0,1.3333333333333333,21.333333333333332,1.3333333333333333,0.0,2.3333333333333335,40.666666666666664,28.333333333333332,2.0,4.0,22.333333333333332,2.0,2.0,1.6666666666666667,3.3333333333333335,2.3333333333333335,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,20.666666666666668,24.666666666666668
732,223,4,2020,5151,T.Y. HiltonWR15260867,WR,ind,a,chi,5.9,5300,T.Y. HiltonWR15260867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.666666666666667,3.3333333333333335,0.6813333333333333,44.333333333333336,0.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,10009,IND,76.33333333333333,7.733333333333333,5.033333333333333,0.27566666666666667,0.012666666666666666,2.0,2.6666666666666665,21.0,1.0,0.0,1.0,33.0,31.0,3.3333333333333335,2.0,1.0,64.33333333333333,8.166666666666666,3.5,0.19166666666666665,0.030333333333333334,1.6666666666666667,1.0,12.333333333333334,2.0,0.0,3.0,28.0,23.333333333333332,1.0,4.0,16.0,2.6666666666666665,2.6666666666666665,2.6666666666666665,3.3333333333333335,2.6666666666666665,0.0,0.0,0.6666666666666666,7.333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,26.666666666666668,15.0,10005,CHI,81.33333333333333,7.466666666666666,4.433333333333334,0.25133333333333335,0.016666666666666666,2.0,2.3333333333333335,20.333333333333332,1.0,0.3333333333333333,2.3333333333333335,42.333333333333336,24.0,3.3333333333333335,4.333333333333333,1.0,83.33333333333333,7.7,4.3999999999999995,0.25633333333333336,0.016,3.0,1.3333333333333333,21.333333333333332,1.3333333333333333,0.0,2.3333333333333335,40.666666666666664,28.333333333333332,2.0,4.0,22.333333333333332,2.0,2.0,1.6666666666666667,3.3333333333333335,2.3333333333333335,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,20.666666666666668,24.666666666666668
